"","id","name","isclosed","review_count","categories","rating","latitude","longitude","price","address1","city","zip"
"142","JaqPqBQtmcQbjOEZi4Eihw","Sheetz",FALSE,3,"list(alias = c(""sandwiches"", ""servicestations"", ""convenience""), title = c(""Sandwiches"", ""Gas Stations"", ""Convenience Stores""))",5,40.815648,-77.901409,NA,"223 Colonnade Blvd","State College","16803"
"143","agQHRMHRJh82QVcYn7ejMQ","Pollock Dining Commons",FALSE,1,"list(alias = ""cafeteria"", title = ""Cafeteria"")",4,40.8019106643479,-77.8564162301025,NA,"201 Old Main","University Park","16802"
"144","PtD8h_rkQ5kTx43WNcHp8w","Tokyo Sushi & Hibachi",FALSE,23,"list(alias = c(""japanese"", ""sushi"", ""steak""), title = c(""Japanese"", ""Sushi Bars"", ""Steakhouses""))",2,40.79812,-77.85643,"$$","428 E College Ave","State College","16801"
"145","13v4r39osnWihz87ItuWZQ","QDOBA Mexican Eats",FALSE,21,"list(alias = c(""mexican"", ""hotdogs""), title = c(""Mexican"", ""Fast Food""))",3,40.7932087185306,-77.8628157824278,"$","208 W College Ave","State College","16801"
"146","Ue9RXYdI7d_7GirPtbaxmQ","Perkins Restaurant & Bakery",FALSE,13,"list(alias = c(""tradamerican"", ""bakeries"", ""breakfast_brunch""), title = c(""American (Traditional)"", ""Bakeries"", ""Breakfast & Brunch""))",3.5,40.834237999054,-77.8030890226364,"$$","525 Benner Pike","State College","16801"
"147","nT3bUvrj4h4AEOzej5IxpQ","Moe's Southwest Grill",FALSE,23,"list(alias = c(""tex-mex"", ""mexican""), title = c(""Tex-Mex"", ""Mexican""))",3,40.8100002599836,-77.9023192912487,"$","211 Patriot Ln","State College","16803"
"148","eU8UsR3GPhBtPvH24AonNQ","Beijing & Osaka",FALSE,3,"list(alias = c(""chinese"", ""sushi"", ""japanese""), title = c(""Chinese"", ""Sushi Bars"", ""Japanese""))",2.5,40.79881,-77.85548,NA,"452 E College Ave","State College","16801"
"149","IHSnRppXy4N43ysY710DlQ","The Cove NY Style Pizzeria",FALSE,30,"list(alias = c(""pizza"", ""desserts"", ""italian""), title = c(""Pizza"", ""Desserts"", ""Italian""))",3,40.8088783074838,-77.8330622521149,"$","1320B E College Ave","State College","16801"
"150","AH1qSKlx3qnmKyh868Hybw","Tazzah Fresh",FALSE,1,"list(alias = c(""salad"", ""juicebars""), title = c(""Salad"", ""Juice Bars & Smoothies""))",1,40.7952763896928,-77.8595188027191,NA,"214 E Calder Way","State College","16801"
"151","chu8LholYOZcoUCP1NmBfw","Applebee's Grill + Bar",FALSE,30,"list(alias = c(""tradamerican"", ""sportsbars"", ""burgers""), title = c(""American (Traditional)"", ""Sports Bars"", ""Burgers""))",2.5,40.810234,-77.904779,"$$","12 Colonnade Way","State College","16803"
"152","GPnW4Vu8Zcdw670Iakx0zg","Panda Express",FALSE,20,"list(alias = c(""chinese"", ""hotdogs""), title = c(""Chinese"", ""Fast Food""))",3,40.808650970459,-77.9043197631836,"$","1870 North Atherton St","State College","16803"
"153","SNLwNKKKfcvQFEz8uhBC_A","Jimmy John's",FALSE,30,"list(alias = c(""sandwiches"", ""hotdogs"", ""delis""), title = c(""Sandwiches"", ""Fast Food"", ""Delis""))",3,40.7982416,-77.856288,"$","434 E College Ave","State College","16801"
"154","zwEXlywzDUd1D_baiW0yuQ","Hibachi-San",FALSE,1,"list(alias = c(""japanese"", ""hotdogs""), title = c(""Japanese"", ""Fast Food""))",1,40.7982133,-77.861035,NA,"7 Hub Robeson Center","University Park","16802"
"155","8b90teByIB4dbMosbOktng","UR Pizza",FALSE,9,"list(alias = ""pizza"", title = ""Pizza"")",2.5,40.79512,-77.85936,NA,"214 E Calder Way","State College","16801"
"156","H54yoBuJXAs1Esn-u6XwZg","Panda Express",FALSE,16,"list(alias = c(""chinese"", ""hotdogs""), title = c(""Chinese"", ""Fast Food""))",3,40.8053963917793,-77.8604507446289,"$","7 Hub/robeson Ctr","University Park","16802"
"157","wXyZ0QY6BLrT4r5s9Y4cCA","Crunchee Munchees",FALSE,11,"list(alias = ""sandwiches"", title = ""Sandwiches"")",2,40.7894,-77.86778,"$","616 W College Ave","State College","16801"
"158","whreQbzPSMqigLTOJYtMYA","College Pizza",FALSE,19,"list(alias = ""pizza"", title = ""Pizza"")",3.5,40.7959,-77.858,"$","128 Locust Ln","State College","16801"
"159","Umah8EuZZMfPz-ypIusr4w","Au Bon Pain",FALSE,3,"list(alias = c(""coffee"", ""bakeries"", ""sandwiches""), title = c(""Coffee & Tea"", ""Bakeries"", ""Sandwiches""))",3.5,40.8074761005145,-77.8666158020496,"$","Bigler Rd","State College","16803"
"160","C6CHoF9RcYmlfINQhCCEuw","Wegmans Pizza",FALSE,2,"list(alias = ""pizza"", title = ""Pizza"")",5,40.8118,-77.90827,NA,"345 Colonnade Blvd","State College","16803"
"161","nvNPbDNXsHWXH61OFKBw_g","Zen Wings & Things",FALSE,30,"list(alias = c(""asianfusion"", ""chicken_wings""), title = c(""Asian Fusion"", ""Chicken Wings""))",2,40.79757,-77.85511,"$$","433 E Beaver Ave","State College","16801"
"162","1eCoWuKuBfzoxwlyb1e_Kg","Gumby's Pizza",FALSE,66,"list(alias = ""pizza"", title = ""Pizza"")",3,40.79307,-77.85717,"$","300 S Pugh St","State College","16801"
"163","eIuQ7HmiFf4ckZj-vY0-Kw","Domino's Pizza",FALSE,8,"list(alias = c(""pizza"", ""chicken_wings"", ""sandwiches""), title = c(""Pizza"", ""Chicken Wings"", ""Sandwiches""))",3.5,40.8013306,-77.8805618,"$","1100 N Atherton St","State College","16803"
"164","c2VgNTaxhzJAqMhq2_ve7w","Okinawa Japanese Restaurant",FALSE,5,"list(alias = ""japanese"", title = ""Japanese"")",1.5,40.79877,-77.85554,NA,"450 E College Ave","State College","16801"
"165","fjWUDhwugNDVt0OORF83cQ","Prospector's Mount Nittany Rib Company",FALSE,8,"list(alias = c(""foodtrucks"", ""bbq""), title = c(""Food Trucks"", ""Barbeque""))",3.5,40.8325643,-77.808315,NA,"333 Benner Pike Shops","State College","16801"
"166","JVNvp1gK8bWSxpqaTaTzog","Taco Bell",FALSE,11,"list(alias = c(""hotdogs"", ""tex-mex"", ""mexican""), title = c(""Fast Food"", ""Tex-Mex"", ""Mexican""))",2.5,40.7968004211863,-77.8581152499958,"$","310 E College Ave","State College","16801"
